Предложение,Ошибка,Глагол,Нужная форма,Число,Омофоничность инфинитива и формы третьего лица,Омографичность инфинитива и формы третьего лица,Наличие ГС,ГС,Расстояние между глаголом и ГС,Позиция глагола по отношению к ГС,Синтаксическая роль ГС в предложении
"Уверена, вы будете в восторге и захотите отправиться в совместное путешествие еще раз!",нет,отправиться,нефинитная,-,да,да,есть,захотите,0,постпозиция,сказуемое (финитный глагол)
приглашаем всех студентов отправиться на увлекательную экскурсию в столицу,нет,отправиться,нефинитная,-,да,да,есть,приглашаем,2,постпозиция,сказуемое (финитный глагол)
"Выйдя в этот день на улицу, я не поверила своим глазам, что природа способна за столь короткое время очнуться после зимы",нет,очнуться,нефинитная,-,да,да,есть,способна,4,постпозиция,сказуемое (именная часть)
"Именно поэтому Высшая школа экономики приглашает тебя этим летом окунуться в теплое море, повеселиться и практиковать иностранный язык спрекрасной компанией!",нет,повеселиться,нефинитная,-,да,да,есть,приглашает,7,постпозиция,сказуемое (финитный глагол)
"Эта поездка будет полезна и интересна всем тем, кто увлекается искусством, архитектурой, дизайном, а так же тем, кто хочет отлично провести время с одногруппниками, повеселиться и отдохнуть",нет,повеселиться,нефинитная,-,да,да,есть,хочет,5,постпозиция,сказуемое (финитный глагол)
"В Варшаве очень много заведений, где можно хорошо отдохнуть, повеселиться и обогатиться духовно",нет,повеселиться,нефинитная,-,да,да,есть,можно,2,постпозиция,сказуемое (категория состояния)
"Поездка в Италию всей группой - это прекрасная возможность посетить страну с великой и интересной историей, познакомиться с новыми интересным илюдьми и насладиться выходными",нет,познакомиться,нефинитная,-,да,да,есть,возможность,7,постпозиция,сказуемое (именная часть)
"Над яркими упругими бутонами пионов уже кружились бабочки, пчелки и стрекозы с надеждой полакомиться вкусным нектаром",нет,полакомиться,нефинитная,-,да,да,есть,надеждой,0,постпозиция,дополнение
"Студенты считают, что такие науки не нужны и не могут понадобиться экономистам и математикам, они не понимают и отвергают систему, которуюсоставляют профессоры",нет,понадобиться,нефинитная,-,да,да,есть,могут,0,постпозиция,сказуемое (финитный глагол)
"Я решила не вставать и дождаться звонка будильника, да и хотелось полежать понежиться под теплым одеялом, с мыслью а том, что на улице жуткий мороз",нет,понежиться,нефинитная,-,да,да,есть,полежать,0,постпозиция,сказуемое (инфинитив)
"В Санкт-Петербурге можно прикоснуться к настоящей истории, и почерпнуть вдохновение для будущих проектов",нет,прикоснуться,нефинитная,-,да,да,есть,можно,0,постпозиция,сказуемое (категория состояния)
"Напротив, механическое запоминание информации делает знание человека негибким, не способным приспособиться к иным целям, помимо тех, длякоторых оно было выучено",нет,приспособиться,нефинитная,-,да,да,есть,способным,0,постпозиция,определение
"Также многие люди, стоя в пробках длительное время, могут испытывать стресс, так как злятся и нервничают из-за того, что не могут продвинуться дальше и доехать до пункта назначения вовремя",нет,продвинуться,нефинитная,-,да,да,есть,могут,0,постпозиция,сказуемое (финитный глагол)
"В больших сборниках сочинений классических писателей, таких как Толстой, Чехов, Пушкин и т. д. часто дается биография писателя, чтобы читатель смог больше проникнуться душой и жизнью поэта и лучше понять его произведение",нет,проникнуться,нефинитная,-,да,да,есть,смог,1,постпозиция,сказуемое (финитный глагол)
"Рим наполнен искусством, культурой и развлечениями и мы надеемся, что наша экскурсионная программа поможет вам проникнуться итальянскойатмосферой",нет,проникнуться,нефинитная,-,да,да,есть,поможет,1,постпозиция,сказуемое (финитный глагол)
"Заглянув во двор одной из улиц, чувствуешь спящую глушь, которая давит на уши, опьяняет сознание и тоже заставляет тебя проникнуться сном",нет,проникнуться,нефинитная,-,да,да,есть,заставляет,1,постпозиция,сказуемое (финитный глагол)
"Действительно, часто чтобы развернуться нужно проехать несколько километров, либо нарушить правила дорожного движения",нет,развернуться,нефинитная,-,да,да,нет,-,-,-,-
Только наедине с природой можно почувствовать себя в безопасности и по-настоящему расслабиться,нет,расслабиться,нефинитная,-,да,да,есть,можно,6,постпозиция,сказуемое (категория состояния)
"Советские идеологи социализма предсказывали, что из-за импортных машин будет рушиться коллективизм, однако это предсказание оказалосьобманчивым",нет,рушиться,нефинитная,-,да,да,есть,будет,0,постпозиция,сказуемое (финитный глагол)
"Во все времена происходили вещи, которые человечество не смогло предсказать и даже не задумывалось о том, что это могло случиться",нет,случиться,нефинитная,-,да,да,есть,могло,0,постпозиция,сказуемое (финитный глагол)
"Наша жизнь непредсказуема, поэтому нельзя предугадать трудности, с которыми можно столкнуться",нет,столкнуться,нефинитная,-,да,да,есть,можно,0,постпозиция,сказуемое (категория состояния)
"Ценность гуманитарного образования отнюдь не в том, что оно учит стремиться к цели, а в том, что человек ясно видит ценность в совершении самогодействия",нет,стремиться,нефинитная,-,да,да,есть,учит,0,постпозиция,сказуемое (финитный глагол)
"По мере взросления я понимала к чему мне стоит стремиться и с чем лучше для меня связать свою жизнь, ведь человек должен заниматься любимым делом и тогда он будет счастлив",нет,стремиться,нефинитная,-,да,да,есть,стоит,0,постпозиция,сказуемое (категория состояния)
"Я считаю что оба аспекта важны, но в первую очередь человек должен стремиться к саморазвитию, к культуре, к познанию мира, и в данном ситуации ценность образования превосходит его полезность",нет,стремиться,нефинитная,-,да,да,есть,должен,0,постпозиция,сказуемое (финитный глагол)
"Помимо неэффективности по борьбе с пробками, такой план сильно навредит экологическому состоянию города, итак достаточно загрязненного - ведь дороги будут строиться за счет вырубки лесов и парковых зон",нет,строиться,нефинитная,-,да,да,есть,будут,0,постпозиция,сказуемое (финитный глагол)
"Большинство автовладельцев отказываются пересесть на общественный транспорт, поскольку считают, что лучше стоять в пробке в собственном автомобиле со всеми удобствами, нежели тесниться в душном автобусе, где 1 квадратный метр занимает немыслимое количество человек",нет,тесниться,нефинитная,-,да,да,нет,-,-,-,-
"Студент не имея гуманитарных знаний, знаний античной философии сможет устроиться в коммерческие финансовые банки, в другие международныекомпьютерные интернет компании и зарабатывать деньги",нет,устроиться,нефинитная,-,да,да,есть,сможет,0,постпозиция,сказуемое (финитный глагол)
"Сейчас я ставлю перед собой множество целей: окончить институт, устроиться на работу в известное дизайнерское бюро, иметь хорошую зарплату и высокую квалификацию, но кто знает, чего я смогу добиться?",нет,устроиться,нефинитная,-,да,да,нет,-,-,-,-
"Например, утверждение о том, что в 1959 году был осуществлен запуск космического снаряда с Земли, который стал новой планетой солнечной системы является абсолютной истиной, потому что на практике можно удостовериться в выходе ракеты за пределы земного притяжения путем наблюдения",нет,удостовериться,нефинитная,-,да,да,есть,можно,0,постпозиция,сказуемое (категория состояния)
"Но в будущем этот человек может столкнуться с проблемой, что при более глубоком изучении исторической науки ему понадобятся знания, полученные из курса географии",нет,столкнуться,нефинитная,-,да,да,есть,может,0,постпозиция,сказуемое (финитный глагол)
"Следующий аргумент также является немаловажным: чисто теоретически, все предметы, которые мы изучаем в школе/университете, могут как пригодиться в дальнейшем, так и быть полностью бесполезными",нет,пригодиться,нефинитная,-,да,да,есть,могут,1,постпозиция,сказуемое (финитный глагол)
"Хорошо, когда в университете есть практика, где студенты могут использовать свои знания, всю полученную теорию по назначению и понять, что на самом деле им может пригодиться",нет,пригодиться,нефинитная,-,да,да,есть,может,0,постпозиция,сказуемое (финитный глагол)
"Порой люди удивляются, как другим удаётся запомнить все исторические даты, выучить определения и успешно подготовиться к экзаменам",нет,подготовиться,нефинитная,-,да,да,есть,удаётся,8,постпозиция,сказуемое (финитный глагол)
В таких условиях нам как раз стоит обратиться к механической памяти,нет,обратиться,нефинитная,-,да,да,есть,стоит,0,постпозиция,сказуемое (категория состояния)
"Они учат, но не изучают предметы, не думая о том, что рано или поздно им придется столкнуться с ними в жизни",нет,столкнуться,нефинитная,-,да,да,есть,придётся,0,постпозиция,сказуемое (категория состояния)
"Во-вторых, понимание одних вещей может помочь углубиться в осознание других",нет,углубиться,нефинитная,-,да,да,есть,помочь,0,постпозиция,сказуемое (инфинитив)
"В-пятых, понимание одного материала может помочь человеку не только углубиться в другой, но и открыть что-то новое",нет,углубиться,нефинитная,-,да,да,есть,помочь,3,постпозиция,сказуемое (инфинитив)
"Однако при более детальном их рассмотрении можно легко убедиться, что по своему смысловому содержанию они существенно различны: пониманиетребует сложных мыслительных процессов, глубокого анализа, запоминание же, в свою очередь, работает как кассетный магнитофон, способный лишь воспроизводить музыку, но не создавать её",нет,убедиться,нефинитная,-,да,да,есть,можно,1,постпозиция,сказуемое (категория состояния)
"Наступило такое время, когда цель людей не исследовать, чтобы открывать новое и приращать знания, а стремиться изучить то, что уже есть",нет,стремиться,нефинитная,-,да,да,есть,цель,10,постпозиция,подлежащее
"К тому же зазубривание затрудняет мыслительные процессы, вредит мозгу, хотя невозможно не согласиться, что в разумных количествах запоминание влоб развивает память",нет,согласиться,нефинитная,-,да,да,есть,невозможно,0,постпозиция,сказуемое (категория состояния)
"Для того, чтобы делать быстро, нужно много думать, и при этом можно ошибиться, а так – легко, хоть и дольше говорили они",нет,ошибиться,нефинитная,-,да,да,есть,можно,0,постпозиция,сказуемое (категория состояния)
"Автор раскрывает данное понятие и объясняет на примере трагикомедии почему люди бояться признаться, что они являются атеистами",есть,бояться,финитная,мн,да,да,есть,люди,0,постпозиция,подлежащее
"Однако этот подход не учитывает взаимоотношения описываемых объектов Х и Ы, как говориться в самой статье, таким образом можно описать допустимость выражений лампа в абажуре и хлеб в тарелке, но совершенно нельзя – хлеб в абажуре",есть,говориться,финитная,ед,да,да,нет,-,-,-,-
"Кроме того, Н. Н. Талеб пишет, что открытие черного лебедя породило даже особое определение, понятие Черный лебедь, что указывает на то, что люди поняли истинный смысл этой истории, однако в переводе ( ii) говориться обратное",есть,говориться,финитная,ед,да,да,есть,обратное,0,препозиция,подлежащее
"А для тебя всё закончиться единственное, что будет окружать тебя – это холод и пустота.",есть,закончиться,финитная,ед,да,да,есть,всё,0,постпозиция,подлежащее
"Поэтому то, что нравиться одному, может раздражать другого.",есть,нравиться,финитная,ед,да,да,есть,что,0,постпозиция,подлежащее
"Уверена, вам понравиться это путешествие!",есть,понравиться,финитная,ед,да,да,есть,путешествие,1,препозиция,подлежащее
"Самое главное что Вы старались, изучали, исследовали закономерности и сходства, и таким образом расширили свой кругозор, узнали много нового и полезного, которое несомненно пригодиться в будущем",есть,пригодиться,финитная,ед,да,да,есть,которое,1,постпозиция,-
"Студенты считают, что большинство предлагаемых курсов им не нужно, потому что не пригодиться в будущем",есть,пригодиться,финитная,ед,да,да,нет,-,-,-,-
"Как результат, они не могут тщательно анализировать и рассуждать о каких - либо событиях, а такой собеседник, не расскажет ничего нового, следовательно, разговор продлиться с ним не долго",есть,продлиться,финитная,ед,да,да,есть,разговор,0,постпозиция,подлежащее
Каждое славиться своими достопримечательностями,есть,славиться,финитная,ед,да,да,есть,каждое,0,постпозиция,подлежащее
"Сегодня в России около 25 млн детей, однако уже к 2025 г. их число сократиться до 22 млн.",есть,сократиться,финитная,ед,да,да,есть,число,0,постпозиция,подлежащее
Действительно ли человек стремиться к свободе?,есть,стремиться,финитная,ед,да,да,есть,человек,0,постпозиция,подлежащее
"Можно с уверенностью сказать, это студент, который стремиться к всестороннему развитию, ктороый во всем видит для себя пользу",есть,стремиться,финитная,ед,да,да,есть,который,0,постпозиция,-
"Я уверен, что необходимо переступать через свои принципы и нормы нравственности, чтобы достичь высоких целей, к которым индивид стремиться всю жизнь",есть,стремиться,финитная,ед,да,да,есть,индивид,0,постпозиция,подлежащее
"Автор статьи, возможно, стремиться доказать, что данные частицы не имеют одного определенного значения, и то, что они – не многозначны",есть,стремиться,финитная,ед,да,да,есть,автор,2,постпозиция,подлежащее
Но в приложении это 100% - но не удасться реализовать,есть,удасться,финитная,ед,да,да,нет,-,-,-,-
"В-третьих, улучшиться взаимодействие между преподавателем и учащимися",есть,улучшиться,финитная,ед,да,да,есть,взаимодействие,0,препозиция,подлежащее
"Если окунуться в это с головой как говорится, то можно проанализировать факт того, почему важные персоны или просто богатенькие на крутой тачке счиают что им должны все уступать",нет,говориться,финитная,ед,да,да,нет,-,-,-,-
"В предисловии, как правило, говорится об актуальности проблематики",нет,говориться,финитная,ед,да,да,нет,-,-,-,-
"Если дороги освободятся от некоторого процента машин, то наземный транспорт будет ездить быстрее и чаще, облегчив жизнь многим людям",нет,освободиться,финитная,мн,да,да,есть,дороги,0,постпозиция,подлежащее
"Каждый желающий отдохнуть в этой сказочной стране с богатой культурой и историй, может подобрать то место, которое понравится именно ему",нет,понравиться,финитная,ед,да,да,есть,которое,0,постпозиция,-
"Согласитесь, любому туристу понравится безлюдный пляж, где он сможет насладиться отдыхом в тишине и спокойствии",нет,понравиться,финитная,ед,да,да,есть,пляж,1,препозиция,подлежащее
"Если все население будет заниматься своим делом что каждому интересно и что он хочет знать), то это будет означать, что страна пополнится квалифицированными работниками в узких специальностях и это приведет к снижению конкуренции",нет,пополниться,финитная,ед,да,да,есть,страна,0,постпозиция,подлежащее
